green,Cucumber,Radish,Celery,galbanum,Grass,Weedy,Leaf,Moss
Fruity,Ripe,Juicy,Tropical,Coconut,Pear,Pineapple,Plum,Apple,Apricot,Peach,Cherry,Melon,Fruit,Berry,Berry,Strawberry,Raspberry,Grape,Hawthorn,Citrus,Orange,Grapefruit,Lemon,Citrus,Bergamot,Orange-blossom,Blackcurrant,banana
Flower,Gardenia,Rose,Geranium,Orris,Hyacinth,Violet,Narcissus,Mimosa,Floral,white flowers,Lilac,Lily,Jasmine,Muguet,Orange-blossom
Savory,Fermented,Cooked,Savory,Roast,Burnt,Smoky,Brown,Bitter,Nut,Vegetable,Potato,Bread,Cocoa,Horseradish,Hazelnut,Chicken,Caramel,Almond,Tomato,Meat,Beef,Sour,Sweat,Buttery,Acid,Dairy,Cheese,Milk,Alliaceous,Sulfur,Brothy,Onion,Cabbage,Garlic,Mushroom,Gourmand,Cocoa,Hazelnut,Caramel,Almond,Coffee,Chocolate,Coffee,Vanilla,Honey,Popcorn
Animal,Animal,Amber,musc,Musk
Herbal,Chamomile,Hay,Camphor,Mint,Tea,Tobacco,Vetiver,Menthol,Lavender,Herb
Spices,Anise,Cinnamon,Licorice,Clove,Coumarin
Earthy,Root,Patchouli
Woody,Pine,Sandalwood
alcohol,Rum,Cognac,Brandy,Wine
aquatic,Ether,Watery,Marine,Ozone,Metal,Fresh,Cooling